,Откуда,Город отправления,Куда,Город назначения,Цена
0,Беларусь,Минск,Россия,Москва,114
1,Беларусь,Минск,Россия,Санкт-Петербург,129
2,Беларусь,Минск,Россия,Сочи,276
3,Беларусь,Минск,Россия,Калининград,294
4,Беларусь,Минск,Россия,Минеральные Воды,208
5,Беларусь,Минск,Россия,Махачкала,373
6,Беларусь,Минск,Россия,Казань,200
7,Беларусь,Минск,Россия,Екатеринбург,315
8,Беларусь,Минск,Россия,Новосибирск,489
9,Беларусь,Минск,Россия,Самара,249
10,Беларусь,Минск,Россия,Челябинск,326
11,Беларусь,Минск,Россия,Мурманск,270
12,Беларусь,Минск,Россия,Нижний Новгород,294
13,Беларусь,Минск,Россия,Иркутск,450
14,Беларусь,Минск,Россия,Красноярск,506
15,Беларусь,Минск,Россия,Пермь,320
16,Беларусь,Минск,Россия,Уфа,316
17,Беларусь,Минск,Россия,Владивосток,804
18,Беларусь,Минск,Россия,Краснодар,448
19,Беларусь,Минск,Россия,Волгоград,259
20,Беларусь,Минск,Россия,Геленджик,428
21,Беларусь,Минск,Россия,Барнаул,419
22,Беларусь,Минск,Россия,Сургут,411
23,Беларусь,Минск,Россия,Тюмень,372
24,Беларусь,Минск,Россия,Ульяновск,189
25,Беларусь,Минск,Россия,Омск,336
26,Беларусь,Минск,Россия,Владикавказ,378
27,Беларусь,Минск,Россия,Оренбург,345
28,Беларусь,Минск,Россия,Саратов,277
29,Беларусь,Минск,Россия,Горно‑Алтайск,554
30,Беларусь,Минск,Россия,Хабаровск,763
31,Беларусь,Минск,Россия,Ижевск,336
32,Беларусь,Минск,Россия,Новокузнецк,510
33,Беларусь,Минск,Россия,Петропавловск-Камчатский,915
34,Беларусь,Минск,Россия,Чебоксары,227
35,Беларусь,Минск,Россия,Череповец,408
36,Беларусь,Минск,Россия,Грозный,463
37,Беларусь,Минск,Россия,Южно‑Сахалинск,815
38,Беларусь,Минск,Россия,Астрахань,346
39,Беларусь,Минск,Россия,Благовещенск,767
