,Откуда,Город отправления,Куда,Город назначения,Цена
0,Беларусь,Минск,Россия,Москва,114.0
1,Беларусь,Минск,Россия,Санкт-Петербург,129.0
2,Беларусь,Минск,Россия,Сочи,276.0
3,Беларусь,Минск,Россия,Калининград,294.0
4,Беларусь,Минск,Россия,Минеральные Воды,208.0
5,Беларусь,Минск,Россия,Махачкала,373.0
6,Беларусь,Минск,Россия,Казань,200.0
7,Беларусь,Минск,Россия,Екатеринбург,315.0
8,Беларусь,Минск,Россия,Новосибирск,489.0
9,Беларусь,Минск,Россия,Самара,249.0
10,Беларусь,Минск,Россия,Челябинск,326.0
11,Беларусь,Минск,Россия,Мурманск,270.0
12,Беларусь,Минск,Россия,Нижний Новгород,294.0
13,Беларусь,Минск,Россия,Иркутск,450.0
14,Беларусь,Минск,Россия,Красноярск,506.0
15,Беларусь,Минск,Россия,Пермь,320.0
16,Беларусь,Минск,Россия,Уфа,316.0
17,Беларусь,Минск,Россия,Владивосток,804.0
18,Беларусь,Минск,Россия,Краснодар,448.0
19,Беларусь,Минск,Россия,Волгоград,259.0
20,Беларусь,Минск,Россия,Геленджик,428.0
21,Беларусь,Минск,Россия,Барнаул,419.0
22,Беларусь,Минск,Россия,Сургут,411.0
23,Беларусь,Минск,Россия,Тюмень,372.0
24,Беларусь,Минск,Россия,Ульяновск,189.0
25,Беларусь,Минск,Россия,Омск,336.0
26,Беларусь,Минск,Россия,Владикавказ,378.0
27,Беларусь,Минск,Россия,Оренбург,345.0
28,Беларусь,Минск,Россия,Саратов,277.0
29,Беларусь,Минск,Россия,Горно‑Алтайск,554.0
30,Беларусь,Минск,Россия,Хабаровск,763.0
31,Беларусь,Минск,Россия,Ижевск,336.0
32,Беларусь,Минск,Россия,Новокузнецк,510.0
33,Беларусь,Минск,Россия,Петропавловск-Камчатский,915.0
34,Беларусь,Минск,Россия,Чебоксары,227.0
35,Беларусь,Минск,Россия,Череповец,408.0
36,Беларусь,Минск,Россия,Грозный,463.0
37,Беларусь,Минск,Россия,Южно‑Сахалинск,815.0
38,Беларусь,Минск,Россия,Астрахань,346.0
39,Беларусь,Минск,Россия,Благовещенск,767.0
40,Беларусь,Минск,Россия,Ставрополь,328.0
41,Беларусь,Минск,Россия,Абакан,690.0
42,Беларусь,Минск,Россия,Архангельск,288.0
43,Беларусь,Минск,Россия,Улан‑Удэ,398.0
44,Беларусь,Минск,Россия,Набережные Челны (Нижнекамск),314.0
45,Беларусь,Минск,Россия,Магнитогорск,459.0
46,Беларусь,Минск,Россия,Кемерово,568.0
47,Беларусь,Минск,Россия,Чита,732.0
48,Беларусь,Минск,Россия,Киров,247.0
49,Беларусь,Минск,Россия,Новый Уренгой,529.0
50,Беларусь,Минск,Россия,Ноябрьск,632.0
51,Беларусь,Минск,Россия,Нальчик,351.0
52,Беларусь,Минск,Россия,Нижневартовск,472.0
53,Беларусь,Минск,Россия,Томск,498.0
54,Беларусь,Минск,Россия,Магадан,848.0
55,Беларусь,Минск,Россия,Кировск (Апатиты),358.0
56,Беларусь,Минск,Россия,Сыктывкар,428.0
58,Беларусь,Минск,Россия,Петрозаводск,501.0
59,Беларусь,Минск,Россия,Пенза,389.0
60,Беларусь,Минск,Россия,Ярославль,279.0
61,Беларусь,Минск,Россия,Магас,358.0
62,Беларусь,Минск,Россия,Ухта,515.0
63,Беларусь,Минск,Россия,Якутск,824.0
64,Беларусь,Минск,Россия,Ханты‑Мансийск,458.0
65,Беларусь,Минск,Россия,Курган,462.0
66,Беларусь,Минск,Россия,Тамбов,297.0
67,Беларусь,Минск,Россия,Саранск,323.0
68,Беларусь,Минск,Россия,Братск,755.0
70,Беларусь,Минск,Россия,Салехард,857.0
71,Беларусь,Минск,Россия,Калуга,191.0
72,Беларусь,Минск,Россия,Тобольск,569.0
73,Беларусь,Минск,Россия,Норильск,790.0
74,Беларусь,Минск,Россия,Иваново,383.0
75,Беларусь,Минск,Россия,Орск,434.0
76,Беларусь,Минск,Россия,Элиста,599.0
80,Беларусь,Минск,Россия,Псков,253.0
84,Беларусь,Минск,Россия,Нарьян‑Мар,404.0
85,Беларусь,Минск,Россия,Усинск,696.0
89,Беларусь,Минск,Россия,Нягань,562.0
90,Беларусь,Минск,Россия,Усть‑Кут,867.0
91,Беларусь,Минск,Россия,Когалым,498.0
92,Беларусь,Минск,Россия,Вологда,498.0
94,Беларусь,Минск,Россия,Кострома,558.0
96,Беларусь,Минск,Россия,Анапа,692.0
98,Беларусь,Минск,Россия,Талакан,1029.0
99,Беларусь,Минск,Россия,Бодайбо,1562.0
100,Беларусь,Минск,Россия,Бугульма,514.0
101,Беларусь,Минск,Россия,Удачный,1304.0
105,Беларусь,Минск,Россия,Николаевск-на-Амуре,1278.0
120,Беларусь,Минск,Россия,Великий Устюг,535.0
153,Беларусь,Минск,Россия,Преображение,1023.0
242,Беларусь,Минск,Беларусь,Гомель,366.0
243,Беларусь,Минск,Беларусь,Брест,446.0
247,Беларусь,Минск,Турция,Анталья,320.0
248,Беларусь,Минск,Турция,Стамбул,402.0
249,Беларусь,Минск,Турция,Даламан,425.0
250,Беларусь,Минск,Турция,Аланья,509.0
251,Беларусь,Минск,Турция,Бодрум,570.0
252,Беларусь,Минск,Турция,Измир,639.0
253,Беларусь,Минск,Турция,Анкара,454.0
254,Беларусь,Минск,Турция,Мерсин,587.0
255,Беларусь,Минск,Турция,Кайсери,661.0
256,Беларусь,Минск,Турция,Ширнак,1798.0
257,Беларусь,Минск,Турция,Невшехир,680.0
258,Беларусь,Минск,Турция,Конья,709.0
259,Беларусь,Минск,Турция,Диярбакыр,936.0
260,Беларусь,Минск,Турция,Трабзон,839.0
261,Беларусь,Минск,Турция,Ризе,547.0
265,Беларусь,Минск,Турция,Газиантеп,1114.0
269,Беларусь,Минск,Турция,Элязыг,1479.0
270,Беларусь,Минск,Турция,Мардин,919.0
273,Беларусь,Минск,Турция,Эрзурум,676.0
278,Беларусь,Минск,Турция,Эдремит,666.0
279,Беларусь,Минск,Турция,Сивас,637.0
281,Беларусь,Минск,Турция,Кахраманмараш,1842.0
299,Беларусь,Минск,Китай,Санья,1059.0
300,Беларусь,Минск,Китай,Пекин,973.0
301,Беларусь,Минск,Китай,Гуанчжоу,976.0
302,Беларусь,Минск,Китай,Шанхай,914.0
303,Беларусь,Минск,Китай,Шэньчжэнь,955.0
304,Беларусь,Минск,Китай,Чэнду,905.0
305,Беларусь,Минск,Китай,Урумчи,730.0
306,Беларусь,Минск,Китай,Ханчжоу,1077.0
307,Беларусь,Минск,Китай,Ухань,986.0
308,Беларусь,Минск,Китай,Чжэнчжоу,1364.0
309,Беларусь,Минск,Китай,Хайкоу,1057.0
310,Беларусь,Минск,Китай,Нанкин,1067.0
311,Беларусь,Минск,Китай,Чунцин,968.0
312,Беларусь,Минск,Китай,Сиань,988.0
313,Беларусь,Минск,Китай,Циндао,918.0
314,Беларусь,Минск,Китай,Нинбо,1898.0
315,Беларусь,Минск,Китай,Шаньтоу,1763.0
316,Беларусь,Минск,Китай,Чанша,2538.0
317,Беларусь,Минск,Китай,Вэньчжоу,1450.0
318,Беларусь,Минск,Китай,Куньмин,2605.0
320,Беларусь,Минск,Китай,Чжанцзяцзе,1251.0
321,Беларусь,Минск,Китай,Харбин,965.0
322,Беларусь,Минск,Китай,Иу,1027.0
323,Беларусь,Минск,Китай,Тяньцзинь,2112.0
324,Беларусь,Минск,Китай,Далянь,1027.0
326,Беларусь,Минск,Китай,Шэньян,1596.0
327,Беларусь,Минск,Китай,Цзинань,1490.0
328,Беларусь,Минск,Китай,Наньнин,2534.0
331,Беларусь,Минск,Китай,Хэфэй,1031.0
332,Беларусь,Минск,Китай,Чжухай,2412.0
333,Беларусь,Минск,Китай,Ланьчжоу,2000.0
334,Беларусь,Минск,Китай,Юньчэн,2005.0
